Name,ID

Rinascita Helm of Fending,37762

Rinascita Cuirass of Fending,37763

Rinascita Vambraces of Fending,37764

Rinascita Poleyns of Fending,37765

Rinascita Sabatons of Fending,37766

Rinascita Helm of Maiming,37767

Rinascita Cuirass of Maiming,37768

Rinascita Vambraces of Maiming,37769

Rinascita Poleyns of Maiming,37770

Rinascita Sabatons of Maiming,37771

Rinascita Hood of Striking,37772

Rinascita Jacket of Striking,37773

Rinascita Armguards of Striking,37774

Rinascita Poleyns of Striking,37775

Rinascita Shoes of Striking,37776

Rinascita Beret of Aiming,37777

Rinascita Jacket of Aiming,37778

Rinascita Gloves of Aiming,37779

Rinascita Poleyns of Aiming,37780

Rinascita Sabatons of Aiming,37781

Rinascita Hood of Scouting,37782

Rinascita Jacket of Scouting,37783

Rinascita Armguards of Scouting,37784

Rinascita Poleyns of Scouting,37785

Rinascita Sabatons of Scouting,37786

Rinascita Beret of Healing,37787

Rinascita Coat of Healing,37788

Rinascita Gloves of Healing,37789

Rinascita Poleyns of Healing,37790

Rinascita Shoes of Healing,37791

Rinascita Hood of Casting,37792

Rinascita Coat of Casting,37793

Rinascita Armguards of Casting,37794

Rinascita Poleyns of Casting,37795

Rinascita Shoes of Casting,37796

Rinascita Earring of Fending,37797

Rinascita Earring of Slaying,37798

Rinascita Earring of Aiming,37799

Rinascita Earring of Healing,37800

Rinascita Earring of Casting,37801

Rinascita Necklace of Fending,37802

Rinascita Necklace of Slaying,37803

Rinascita Necklace of Aiming,37804

Rinascita Necklace of Healing,37805

Rinascita Necklace of Casting,37806

Rinascita Bracelet of Fending,37807

Rinascita Bracelet of Slaying,37808

Rinascita Bracelet of Aiming,37809

Rinascita Bracelet of Healing,37810

Rinascita Bracelet of Casting,37811

Rinascita Ring of Fending,37812

Rinascita Ring of Slaying,37813

Rinascita Ring of Aiming,37814

Rinascita Ring of Healing,37815

Rinascita Ring of Casting,37816

